# Logfile created on 2026-03-25 23:00:38 +0100 by logger.rb/v1.5.3
2026-03-25 23:00:38 +0100: Memory Usage (437012K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:00:38 +0100: Memory Usage (437012K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : Loading database to memory is complete.
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_project_wrapper_HPA_contbar.lyrdb
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : Evaluate switches.
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : tables selected: contbar
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : flat mode is enabled.
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : FEOL enabled: false
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : BEOL enabled: false
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : OFFGRID enabled: true
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : PIN enabled: false
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : FORBIDDEN enabled: false
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : RECOMMENDED enabled: true
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : PreCheck DRC enabled: false
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:00:40 +0100: Memory Usage (452276K) : Read in polygons from layers.
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_drw has 198 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_pin has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_mask has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_filler has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_nofill has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_opc has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_iopc has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : activ_noqrc has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : biwind_drw has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : biwind_opc has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454464K) : pemwind_drw has 0 polygons
2026-03-25 23:00:40 +0100: Memory Usage (454896K) : gatpoly_drw has 108 polygons
