# Logfile created on 2026-03-25 23:00:50 +0100 by logger.rb/v1.5.3
2026-03-25 23:00:50 +0100: Memory Usage (437128K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:00:50 +0100: Memory Usage (437128K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:00:50 +0100: Memory Usage (451756K) : Loading database to memory is complete.
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_project_wrapper_HPA_lbe.lyrdb
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : Evaluate switches.
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : tables selected: lbe
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : flat mode is enabled.
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : FEOL enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : BEOL enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : OFFGRID enabled: true
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : PIN enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : FORBIDDEN enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : RECOMMENDED enabled: true
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : PreCheck DRC enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:00:50 +0100: Memory Usage (452620K) : Read in polygons from layers.
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_drw has 198 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_pin has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_mask has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_filler has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_nofill has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_opc has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_iopc has 0 polygons
2026-03-25 23:00:51 +0100: Memory Usage (454776K) : activ_noqrc has 0 polygons
