# Logfile created on 2026-03-25 23:00:49 +0100 by logger.rb/v1.5.3
2026-03-25 23:00:49 +0100: Memory Usage (437660K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:00:49 +0100: Memory Usage (437660K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:00:50 +0100: Memory Usage (452284K) : Loading database to memory is complete.
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_project_wrapper_HPA_mim.lyrdb
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : Evaluate switches.
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : tables selected: mim
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : flat mode is enabled.
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : FEOL enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : BEOL enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : OFFGRID enabled: true
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : PIN enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : FORBIDDEN enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : RECOMMENDED enabled: true
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : PreCheck DRC enabled: false
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:00:50 +0100: Memory Usage (453160K) : Read in polygons from layers.
2026-03-25 23:00:50 +0100: Memory Usage (455372K) : activ_drw has 198 polygons
2026-03-25 23:00:50 +0100: Memory Usage (455372K) : activ_pin has 0 polygons
2026-03-25 23:00:50 +0100: Memory Usage (455372K) : activ_mask has 0 polygons
2026-03-25 23:00:50 +0100: Memory Usage (455372K) : activ_filler has 0 polygons
2026-03-25 23:00:50 +0100: Memory Usage (455372K) : activ_nofill has 0 polygons
