# Logfile created on 2026-03-25 23:00:51 +0100 by logger.rb/v1.5.3
2026-03-25 23:00:51 +0100: Memory Usage (437548K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:00:51 +0100: Memory Usage (437548K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : Loading database to memory is complete.
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_project_wrapper_HPA_topvia2.lyrdb
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : Evaluate switches.
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : tables selected: topvia2
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : flat mode is enabled.
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : FEOL enabled: false
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : BEOL enabled: false
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : OFFGRID enabled: true
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : PIN enabled: false
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : FORBIDDEN enabled: false
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : RECOMMENDED enabled: true
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : PreCheck DRC enabled: false
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:00:52 +0100: Memory Usage (452208K) : Read in polygons from layers.
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_drw has 198 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_pin has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_mask has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_filler has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_nofill has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_opc has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_iopc has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : activ_noqrc has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : biwind_drw has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : biwind_opc has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455128K) : pemwind_drw has 0 polygons
2026-03-25 23:00:52 +0100: Memory Usage (455508K) : gatpoly_drw has 108 polygons
