# Logfile created on 2026-03-25 23:01:40 +0100 by logger.rb/v1.5.3
2026-03-25 23:01:40 +0100: Memory Usage (436216K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:01:40 +0100: Memory Usage (436216K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:01:40 +0100: Memory Usage (451624K) : Loading database to memory is complete.
2026-03-25 23:01:40 +0100: Memory Usage (451624K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_user_project_wrapper/HPA_project_wrapper_user_project_wrapper_activ.lyrdb
2026-03-25 23:01:40 +0100: Memory Usage (451624K) : Evaluate switches.
2026-03-25 23:01:40 +0100: Memory Usage (451624K) : tables selected: activ
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : flat mode is enabled.
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : FEOL enabled: false
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : BEOL enabled: false
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : OFFGRID enabled: true
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : PIN enabled: false
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : FORBIDDEN enabled: false
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : RECOMMENDED enabled: true
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : PreCheck DRC enabled: false
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:01:41 +0100: Memory Usage (451624K) : Read in polygons from layers.
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_drw has 1594 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_pin has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_mask has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_filler has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_nofill has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_opc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_iopc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : activ_noqrc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : biwind_drw has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : biwind_opc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454052K) : pemwind_drw has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_drw has 2540 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_pin has 124 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_filler has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_nofill has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_opc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_iopc has 0 polygons
2026-03-25 23:01:41 +0100: Memory Usage (454436K) : gatpoly_noqrc has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (974064K) : cont_drw has 4315823 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : cont_opc has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : nsd_drw has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : nsd_block has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_drw has 5199 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_pin has 2227 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_mask has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_filler has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_nofill has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (980864K) : metal1_slit has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_text has 1568 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_opc has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_noqrc has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_res has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_iprobe has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : metal1_diffprb has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : passiv_drw has 52 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : passiv_pin has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : passiv_sbump has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : passiv_pillar has 0 polygons
2026-03-25 23:02:00 +0100: Memory Usage (984064K) : passiv_pdl has 0 polygons
