# Logfile created on 2026-03-25 23:02:33 +0100 by logger.rb/v1.5.3
2026-03-25 23:02:33 +0100: Memory Usage (436492K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA_project_wrapper.gds
2026-03-25 23:02:33 +0100: Memory Usage (436492K) : Ruby Version for klayout: 3.2.3
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : Loading database to memory is complete.
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_user_project_wrapper/HPA_project_wrapper_user_project_wrapper_solderbump.lyrdb
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : Evaluate switches.
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : tables selected: solderbump
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : flat mode is enabled.
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : FEOL enabled: false
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : BEOL enabled: false
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : OFFGRID enabled: true
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : PIN enabled: false
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : FORBIDDEN enabled: false
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : RECOMMENDED enabled: true
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : PreCheck DRC enabled: false
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 23:02:34 +0100: Memory Usage (451788K) : Read in polygons from layers.
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_drw has 1594 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_pin has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_mask has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_filler has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_nofill has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_opc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_iopc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : activ_noqrc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : biwind_drw has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : biwind_opc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454304K) : pemwind_drw has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_drw has 2540 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_pin has 124 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_filler has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_nofill has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_opc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_iopc has 0 polygons
2026-03-25 23:02:34 +0100: Memory Usage (454744K) : gatpoly_noqrc has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (977144K) : cont_drw has 4315823 polygons
2026-03-25 23:02:57 +0100: Memory Usage (981444K) : cont_opc has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (981444K) : nsd_drw has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (981444K) : nsd_block has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_drw has 5199 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_pin has 2227 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_mask has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_filler has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_nofill has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (983496K) : metal1_slit has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_text has 1568 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_opc has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_noqrc has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_res has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_iprobe has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal1_diffprb has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : passiv_drw has 52 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : passiv_pin has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : passiv_sbump has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : passiv_pillar has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : passiv_pdl has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal2_drw has 1643 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal2_pin has 1127 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal2_mask has 0 polygons
2026-03-25 23:02:57 +0100: Memory Usage (986000K) : metal2_filler has 0 polygons
