# Logfile created on 2026-03-25 04:34:22 +0100 by logger.rb/v1.5.3
2026-03-25 04:34:22 +0100: Memory Usage (438796K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/HPA.gds
2026-03-25 04:34:22 +0100: Memory Usage (438796K) : Ruby Version for klayout: 3.2.3
2026-03-25 04:34:22 +0100: Memory Usage (440740K) : Loading database to memory is complete.
2026-03-25 04:34:22 +0100: Memory Usage (440740K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/HPAmplifier/OTA_Telescopic/Layout_and_Related_files/drc_run_HPA/HPA_HPA_main.lyrdb
2026-03-25 04:34:22 +0100: Memory Usage (440884K) : Evaluate switches.
2026-03-25 04:34:22 +0100: Memory Usage (440884K) : tables selected: main
2026-03-25 04:34:22 +0100: Memory Usage (440884K) : KLayout will use 1 thread(s) in tiling mode.
2026-03-25 04:34:22 +0100: Memory Usage (440884K) : deep mode is enabled.
2026-03-25 04:34:22 +0100: Memory Usage (440884K) : FEOL enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : BEOL enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : OFFGRID enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : PIN enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : FORBIDDEN enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : RECOMMENDED enabled: true
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : PreCheck DRC enabled: false
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : CONNECTIVITY_RULES enabled: true.
2026-03-25 04:34:22 +0100: Memory Usage (441012K) : Read in polygons from layers.
2026-03-25 04:34:22 +0100: Memory Usage (442176K) : activ_drw has 5032 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442304K) : activ_pin has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442304K) : activ_mask has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442304K) : activ_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442432K) : activ_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442432K) : activ_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442560K) : activ_iopc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442560K) : activ_noqrc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442560K) : biwind_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442688K) : biwind_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442688K) : pemwind_drw has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442816K) : gatpoly_drw has 2679 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442944K) : gatpoly_pin has 377 polygons
2026-03-25 04:34:22 +0100: Memory Usage (442944K) : gatpoly_filler has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (443072K) : gatpoly_nofill has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (443072K) : gatpoly_opc has 0 polygons
2026-03-25 04:34:22 +0100: Memory Usage (443072K) : gatpoly_iopc has 0 polygons
