# Logfile created on 2026-03-25 22:52:19 +0100 by logger.rb/v1.5.3
2026-03-25 22:52:19 +0100: Memory Usage (437048K) : Starting running IHP-SG13G2 KLayout DRC runset on /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/HPA.gds
2026-03-25 22:52:19 +0100: Memory Usage (437048K) : Ruby Version for klayout: 3.2.3
2026-03-25 22:52:19 +0100: Memory Usage (438820K) : Loading database to memory is complete.
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : IHP-SG13G2 KLayout DRC runset output at: /foss/designs/Design/xschem/IHP__OPA2251/OPA2251-main/layout/klayout/drc_run_HPA/HPA_HPA_schottkydiode.lyrdb
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : Evaluate switches.
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : tables selected: schottkydiode
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : KLayout will use 4 thread(s) in tiled mode.
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : flat mode is enabled.
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : FEOL enabled: false
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : BEOL enabled: false
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : OFFGRID enabled: true
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : PIN enabled: false
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : FORBIDDEN enabled: false
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : RECOMMENDED enabled: true
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : PreCheck DRC enabled: false
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : CONNECTIVITY_RULES enabled: false.
2026-03-25 22:52:19 +0100: Memory Usage (439024K) : Read in polygons from layers.
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_drw has 198 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_pin has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_mask has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_iopc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : activ_noqrc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : biwind_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : biwind_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (441572K) : pemwind_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442532K) : gatpoly_drw has 108 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_pin has 124 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_iopc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (442728K) : gatpoly_noqrc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : cont_drw has 16803 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : cont_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : nsd_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : nsd_block has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : metal1_drw has 390 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : metal1_pin has 515 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : metal1_mask has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : metal1_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449060K) : metal1_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_slit has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_text has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_noqrc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_res has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_iprobe has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal1_diffprb has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : passiv_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : passiv_pin has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : passiv_sbump has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : passiv_pillar has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : passiv_pdl has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal2_drw has 95 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal2_pin has 11 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449092K) : metal2_mask has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_slit has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_text has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_noqrc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449344K) : metal2_res has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449408K) : metal2_iprobe has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449408K) : metal2_diffprb has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449408K) : baspoly_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449408K) : baspoly_pin has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449472K) : psd_drw has 24 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449472K) : nldb_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (449472K) : digibnd_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451580K) : via1_drw has 9590 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451580K) : backmetal1_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451692K) : backmetal1_pin has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451692K) : backmetal1_mask has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_slit has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_text has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_noqrc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_res has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_iprobe has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backmetal1_diffprb has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : backpassiv_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451756K) : res_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451820K) : sram_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451820K) : trans_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451884K) : ind_drw has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451884K) : ind_pin has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (451884K) : ind_text has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (452144K) : salblock_drw has 7 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : via2_drw has 7995 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_drw has 67 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_pin has 8 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_mask has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_filler has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_nofill has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_slit has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_text has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_opc has 0 polygons
2026-03-25 22:52:19 +0100: Memory Usage (453992K) : metal3_noqrc has 0 polygons
